step, strain, right, left, 
15900, 0, -5.63955, 5.63955, 
16000, 0, -2.23104, 2.23104, 
16100, 0, -6.11679, 6.11679, 
16200, 0, -1.75365, 1.75365, 
16300, 0, -1.15239, 1.15239, 
16400, 0, -8.34174, 8.34174, 
16500, 0, -5.0323, 5.0323, 
16600, 0, -2.65656, 2.65656, 
16700, 0, -2.75556, 2.75556, 
16800, 0, -3.75412, 3.75412, 
16900, 0, -7.84685, 7.84685, 
17000, 0, -3.65999, 3.65999, 
17100, 0, -1.44844, 1.44844, 
17200, 0, -5.38017, 5.38017, 
17300, 0, -2.98148, 2.98148, 
17400, 0, -8.05082, 8.05082, 
17500, 0, -4.41934, 4.41934, 
17600, 0, -1.19618, 1.19618, 
17700, 0, 2.47676, -2.47676, 
17800, 0, -10.46, 10.46, 
17900, 0, 4.57114, -4.57114, 
18000, 0, -1.63089, 1.63089, 
18100, 0, -2.83476, 2.83476, 
18200, 0, -1.38869, 1.38869, 
18300, 0, -2.82232, 2.82232, 
18400, 0, -3.62805, 3.62805, 
18500, 0, -2.23312, 2.23312, 
18600, 0, -3.10511, 3.10511, 
18700, 0, -6.01312, 6.01312, 
18800, 0, -3.02919, 3.02919, 
18900, 0, -4.0644, 4.0644, 
19000, 0, -2.42692, 2.42692, 
19100, 0, -5.17837, 5.17837, 
19200, 0, -6.22281, 6.22281, 
19300, 0, -4.98806, 4.98806, 
19400, 0, -5.03225, 5.03225, 
19500, 0, -4.30675, 4.30675, 
19600, 0, -2.16805, 2.16805, 
19700, 0, -4.71601, 4.71601, 
19800, 0, -0.761196, 0.761196, 
19900, 0, -0.178033, 0.178033, 
20000, -0.002, -0.949691, 0.949691, 
20100, -0.002, -6.1702, 6.1702, 
20200, -0.002, -3.6006, 3.6006, 
20300, -0.002, -0.638157, 0.638157, 
20400, -0.002, -5.32672, 5.32672, 
20500, -0.002, -4.40853, 4.40853, 
20600, -0.002, -6.78446, 6.78446, 
20700, -0.002, -5.2018, 5.2018, 
20800, -0.002, -1.22549, 1.22549, 
20900, -0.002, -6.72235, 6.72235, 
21000, -0.002, -4.28314, 4.28314, 
21100, -0.002, -2.61978, 2.61978, 
21200, -0.002, -3.28932, 3.28932, 
21300, -0.002, -3.29042, 3.29042, 
21400, -0.002, -5.2654, 5.2654, 
21500, -0.002, 0.881209, -0.881209, 
21600, -0.002, -5.60631, 5.60631, 
21700, -0.002, -3.54681, 3.54681, 
21800, -0.002, -0.840763, 0.840763, 
21900, -0.002, -0.33603, 0.33603, 
22000, -0.002, -2.98821, 2.98821, 
22100, -0.002, -1.84681, 1.84681, 
22200, -0.002, -0.108097, 0.108097, 
22300, -0.002, -0.957056, 0.957056, 
22400, -0.002, -3.50783, 3.50783, 
22500, -0.002, -4.77796, 4.77796, 
22600, -0.002, -1.9996, 1.9996, 
22700, -0.002, -3.08124, 3.08124, 
22800, -0.002, -1.74159, 1.74159, 
22900, -0.002, -2.64836, 2.64836, 
23000, -0.002, -4.69321, 4.69321, 
23100, -0.002, -3.02983, 3.02983, 
23200, -0.002, -4.9171, 4.9171, 
23300, -0.002, -6.46468, 6.46468, 
23400, -0.002, -4.35654, 4.35654, 
23500, -0.002, -1.15556, 1.15556, 
23600, -0.002, -5.36781, 5.36781, 
23700, -0.002, -4.05307, 4.05307, 
