step, strain, right, left, 
0, 0, -11.8818, 11.8818, 
100, 0, -3.35223, 3.35223, 
200, 0, 0.979965, -0.979965, 
300, 0, -0.420637, 0.420637, 
400, 0, -7.5975, 7.5975, 
500, 0, -6.04379, 6.04379, 
600, 0, -3.99957, 3.99957, 
700, 0, 0.726349, -0.726349, 
800, 0, -3.55888, 3.55888, 
900, 0, -6.26137, 6.26137, 
1000, 0, -5.48457, 5.48457, 
1100, 0, -1.79716, 1.79716, 
1200, 0, -1.67672, 1.67672, 
1300, 0, -3.54652, 3.54652, 
1400, 0, -5.90644, 5.90644, 
1500, 0, -4.25485, 4.25485, 
1600, 0, -1.68904, 1.68904, 
1700, 0, -2.32658, 2.32658, 
1800, 0, -5.12922, 5.12922, 
1900, 0, -4.59075, 4.59075, 
2000, 0, -3.13737, 3.13737, 
2100, 0, -2.6071, 2.6071, 
2200, 0, -3.62172, 3.62172, 
2300, 0, -4.35582, 4.35582, 
2400, 0, -3.95973, 3.95973, 
2500, 0, -3.11741, 3.11741, 
2600, 0, -3.15324, 3.15324, 
2700, 0, -3.73156, 3.73156, 
2800, 0, -4.07934, 4.07934, 
2900, 0, -3.4321, 3.4321, 
3000, 0, -3.307, 3.307, 
3100, 0, -3.68162, 3.68162, 
3200, 0, -3.98148, 3.98148, 
3300, 0, -3.63108, 3.63108, 
3400, 0, -3.39089, 3.39089, 
3500, 0, -3.48909, 3.48909, 
3600, 0, -3.9888, 3.9888, 
3700, 0, -3.79895, 3.79895, 
3800, 0, -3.23856, 3.23856, 
3900, 0, -3.3525, 3.3525, 
4000, 0, -3.94986, 3.94986, 
4100, 0, -3.74116, 3.74116, 
4200, 0, -3.59794, 3.59794, 
4300, 0, -3.27953, 3.27953, 
4400, 0, -3.72244, 3.72244, 
4500, 0, -3.81346, 3.81346, 
4600, 0, -3.87371, 3.87371, 
4700, 0, -3.26666, 3.26666, 
4800, 0, -3.52427, 3.52427, 
4900, 0, -3.68251, 3.68251, 
5000, 0, -3.93852, 3.93852, 
5100, 0, -3.48202, 3.48202, 
5200, 0, -3.3935, 3.3935, 
5300, 0, -3.48151, 3.48151, 
5400, 0, -3.93353, 3.93353, 
5500, 0, -3.72453, 3.72453, 
5600, 0, -3.41857, 3.41857, 
5700, 0, -3.42094, 3.42094, 
5800, 0, -3.7974, 3.7974, 
5900, 0, -3.81784, 3.81784, 
