[ -39.4264 ,1484.42 ],
[ -39.2205 ,1383.51 ],
[ -39.0499 ,1298.68 ],
[ -39.1895 ,1394.37 ],
[ -39.1946 ,1416.51 ],
[ -38.6453 ,1113.85 ],
[ -39.1838 ,1443.9 ],
[ -39.1213 ,1428.05 ],
[ -38.4996 ,1085.62 ],
[ -39.0938 ,1449.77 ],
[ -39.2799 ,1575.07 ],
[ -39.2212 ,1551.41 ],
[ -39.0225 ,1459.21 ],
[ -38.4021 ,1112.58 ],
[ -38.827 ,1379.21 ],
[ -39.0569 ,1530.41 ],
[ -38.6841 ,1325.96 ],
[ -39.3354 ,1727.79 ],
[ -38.6786 ,1361.93 ],
[ -38.5881 ,1325.65 ],
[ -38.8554 ,1500.63 ],
[ -38.9098 ,1550.99 ],
[ -38.7923 ,1500.15 ],
[ -38.8843 ,1574.47 ],
[ -38.5785 ,1410.88 ],
[ -38.5405 ,1403.25 ],
[ -38.3395 ,1305.17 ],
[ -38.6656 ,1511.81 ],
[ -38.4544 ,1407.32 ],
[ -38.7639 ,1606.05 ],
[ -37.7959 ,1061.28 ],
[ -38.0765 ,1237.23 ],
[ -38.3588 ,1424.81 ],
[ -38.894 ,1757.16 ],
[ -38.6755 ,1646.75 ],
[ -38.9806 ,1842.87 ],
