[ 1.38345e-07 , -43.6832 , -43.6832 ],
[ 1.2451e-06 , -43.6832 , -43.6832 ],
[ 3.45862e-06 , -43.6832 , -43.6832 ],
[ 6.7789e-06 , -43.6832 , -43.6832 ],
[ 1.12059e-05 , -43.6832 , -43.6832 ],
[ 1.67397e-05 , -43.6832 , -43.6832 ],
[ 2.33803e-05 , -43.6832 , -43.6832 ],
[ 3.11277e-05 , -43.6832 , -43.6832 ],
[ 3.99818e-05 , -43.6832 , -43.6832 ],
[ 4.99426e-05 , -43.6832 , -43.6832 ],
[ 6.10103e-05 , -43.6833 , -43.6832 ],
[ 7.31847e-05 , -43.6833 , -43.6832 ],
[ 8.6466e-05 , -43.6833 , -43.6832 ],
[ 0.000100854 , -43.6833 , -43.6832 ],
[ 0.000116349 , -43.6833 , -43.6832 ],
[ 0.00013295 , -43.6833 , -43.6832 ],
[ 0.000150659 , -43.6833 , -43.6832 ],
[ 0.000169474 , -43.6834 , -43.6832 ],
[ 0.000189396 , -43.6834 , -43.6832 ],
[ 0.000210425 , -43.6834 , -43.6832 ],
[ 0.000232561 , -43.6834 , -43.6832 ],
[ 0.000255803 , -43.6835 , -43.6832 ],
[ 0.000280153 , -43.6835 , -43.6832 ],
[ 0.000305609 , -43.6835 , -43.6832 ],
[ 0.000332172 , -43.6835 , -43.6832 ],
[ 0.000359842 , -43.6836 , -43.6832 ],
[ 0.000388619 , -43.6836 , -43.6832 ],
[ 0.000418503 , -43.6836 , -43.6832 ],
[ 0.000449494 , -43.6836 , -43.6832 ],
[ 0.000481592 , -43.6837 , -43.6832 ],
[ 0.000514796 , -43.6837 , -43.6832 ],
[ 0.000549108 , -43.6837 , -43.6832 ],
[ 0.000584527 , -43.6838 , -43.6832 ],
[ 0.000621052 , -43.6838 , -43.6832 ],
[ 0.000658685 , -43.6839 , -43.6832 ],
[ 0.000697424 , -43.6839 , -43.6832 ],
[ 0.000737271 , -43.6839 , -43.6832 ],
[ 0.000778225 , -43.684 , -43.6832 ],
[ 0.000820285 , -43.684 , -43.6832 ],
[ 0.000863453 , -43.6841 , -43.6832 ],
[ 0.000907728 , -43.6841 , -43.6832 ],
[ 0.00095311 , -43.6842 , -43.6832 ],
[ 0.000999599 , -43.6842 , -43.6832 ],
[ 0.00104719 , -43.6842 , -43.6832 ],
[ 0.0010959 , -43.6843 , -43.6832 ],
[ 0.00114571 , -43.6843 , -43.6832 ],
[ 0.00119663 , -43.6844 , -43.6832 ],
[ 0.00124865 , -43.6844 , -43.6832 ],
[ 0.00130178 , -43.6845 , -43.6832 ],
[ 0.00135602 , -43.6846 , -43.6832 ],
[ 0.00141137 , -43.6846 , -43.6832 ],
[ 0.00146782 , -43.6847 , -43.6832 ],
[ 0.00152539 , -43.6847 , -43.6832 ],
[ 0.00158405 , -43.6848 , -43.6832 ],
[ 0.00164383 , -43.6848 , -43.6832 ],
[ 0.00170471 , -43.6849 , -43.6832 ],
[ 0.0017667 , -43.685 , -43.6832 ],
[ 0.0018298 , -43.685 , -43.6832 ],
[ 0.00189401 , -43.6851 , -43.6832 ],
[ 0.00195932 , -43.6852 , -43.6832 ],
[ 0.00202574 , -43.6852 , -43.6832 ],
[ 0.00209327 , -43.6853 , -43.6832 ],
[ 0.00216191 , -43.6854 , -43.6832 ],
[ 0.00223165 , -43.6854 , -43.6832 ],
[ 0.0023025 , -43.6855 , -43.6832 ],
[ 0.00237446 , -43.6856 , -43.6832 ],
[ 0.00244752 , -43.6856 , -43.6832 ],
[ 0.0025217 , -43.6857 , -43.6832 ],
[ 0.00259698 , -43.6858 , -43.6832 ],
[ 0.00267337 , -43.6859 , -43.6832 ],
[ 0.00275087 , -43.6859 , -43.6832 ],
[ 0.00282947 , -43.686 , -43.6832 ],
[ 0.00290918 , -43.6861 , -43.6832 ],
[ 0.00299 , -43.6862 , -43.6832 ],
[ 0.00307193 , -43.6863 , -43.6832 ],
[ 0.00315497 , -43.6864 , -43.6832 ],
[ 0.00323911 , -43.6864 , -43.6832 ],
[ 0.00332437 , -43.6865 , -43.6832 ],
[ 0.00341073 , -43.6866 , -43.6832 ],
[ 0.0034982 , -43.6867 , -43.6832 ],
